order,file_path,thumbnail,capture_uuid,page_uri,book_uri
1,http://images.nypl.org/index.php?id=5260338&t=v,http://images.nypl.org/index.php?id=5260338&t=r,df712aa0-00b1-0133-fbd7-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
2,http://images.nypl.org/index.php?id=5260339&t=v,http://images.nypl.org/index.php?id=5260339&t=r,df7bee30-00b1-0133-b1e5-58d385a7bbd0,http://digitalcollections.nypl.org/items/df7bee30-00b1-0133-b1e5-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
3,http://images.nypl.org/index.php?id=5260340&t=v,http://images.nypl.org/index.php?id=5260340&t=r,df858290-00b1-0133-1325-58d385a7bbd0,http://digitalcollections.nypl.org/items/df858290-00b1-0133-1325-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
4,http://images.nypl.org/index.php?id=5260341&t=v,http://images.nypl.org/index.php?id=5260341&t=r,df8efee0-00b1-0133-bbb9-58d385a7bbd0,http://digitalcollections.nypl.org/items/df8efee0-00b1-0133-bbb9-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
5,http://images.nypl.org/index.php?id=5260342&t=v,http://images.nypl.org/index.php?id=5260342&t=r,df988930-00b1-0133-1a65-58d385a7bbd0,http://digitalcollections.nypl.org/items/df988930-00b1-0133-1a65-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
6,http://images.nypl.org/index.php?id=5260343&t=v,http://images.nypl.org/index.php?id=5260343&t=r,dfa22a80-00b1-0133-72f5-58d385a7bbd0,http://digitalcollections.nypl.org/items/dfa22a80-00b1-0133-72f5-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
7,http://images.nypl.org/index.php?id=5260344&t=v,http://images.nypl.org/index.php?id=5260344&t=r,dfaba2f0-00b1-0133-f2f5-58d385a7bbd0,http://digitalcollections.nypl.org/items/dfaba2f0-00b1-0133-f2f5-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
8,http://images.nypl.org/index.php?id=5260345&t=v,http://images.nypl.org/index.php?id=5260345&t=r,dfb58840-00b1-0133-6afd-58d385a7bbd0,http://digitalcollections.nypl.org/items/dfb58840-00b1-0133-6afd-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
9,http://images.nypl.org/index.php?id=5260346&t=v,http://images.nypl.org/index.php?id=5260346&t=r,dfbf2430-00b1-0133-02cd-58d385a7bbd0,http://digitalcollections.nypl.org/items/dfbf2430-00b1-0133-02cd-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
10,http://images.nypl.org/index.php?id=5260347&t=v,http://images.nypl.org/index.php?id=5260347&t=r,dfc8a730-00b1-0133-d996-58d385a7bbd0,http://digitalcollections.nypl.org/items/dfc8a730-00b1-0133-d996-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
11,http://images.nypl.org/index.php?id=5260348&t=v,http://images.nypl.org/index.php?id=5260348&t=r,dfd227e0-00b1-0133-c8db-58d385a7bbd0,http://digitalcollections.nypl.org/items/dfd227e0-00b1-0133-c8db-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
