order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
1,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/df712aa0-00b1-0133-fbd7-58d385a7bbd0.unsplit.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/df712aa0-00b1-0133-fbd7-58d385a7bbd0.unsplit.jpg,df712aa0-00b1-0133-fbd7-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0,0,1749,2559,0,0,1749,2559
2,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/df7bee30-00b1-0133-b1e5-58d385a7bbd0.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/df7bee30-00b1-0133-b1e5-58d385a7bbd0.left.jpg,df7bee30-00b1-0133-b1e5-58d385a7bbd0,http://digitalcollections.nypl.org/items/df7bee30-00b1-0133-b1e5-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0,1.56629,1387.57,2261,0,0,1387.57,2261
2,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/df7bee30-00b1-0133-b1e5-58d385a7bbd0.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/df7bee30-00b1-0133-b1e5-58d385a7bbd0.right.jpg,df7bee30-00b1-0133-b1e5-58d385a7bbd0,http://digitalcollections.nypl.org/items/df7bee30-00b1-0133-b1e5-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0,1.56629,1387.57,2261,1230.43,0,1387.57,2261
3,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/df858290-00b1-0133-1325-58d385a7bbd0.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/df858290-00b1-0133-1325-58d385a7bbd0.left.jpg,df858290-00b1-0133-1325-58d385a7bbd0,http://digitalcollections.nypl.org/items/df858290-00b1-0133-1325-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0,1.03502,1375.91,2116,0,0,1375.91,2116
3,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/df858290-00b1-0133-1325-58d385a7bbd0.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/df858290-00b1-0133-1325-58d385a7bbd0.right.jpg,df858290-00b1-0133-1325-58d385a7bbd0,http://digitalcollections.nypl.org/items/df858290-00b1-0133-1325-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0,1.03502,1375.91,2116,1220.09,0,1375.91,2116
4,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/df8efee0-00b1-0133-bbb9-58d385a7bbd0.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/df8efee0-00b1-0133-bbb9-58d385a7bbd0.left.jpg,df8efee0-00b1-0133-bbb9-58d385a7bbd0,http://digitalcollections.nypl.org/items/df8efee0-00b1-0133-bbb9-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0,0.671404,1370.58,2043,0,0,1370.58,2043
4,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/df8efee0-00b1-0133-bbb9-58d385a7bbd0.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/df8efee0-00b1-0133-bbb9-58d385a7bbd0.right.jpg,df8efee0-00b1-0133-bbb9-58d385a7bbd0,http://digitalcollections.nypl.org/items/df8efee0-00b1-0133-bbb9-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0,0.671404,1370.58,2043,1215.42,0,1370.58,2043
5,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/df988930-00b1-0133-1a65-58d385a7bbd0.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/df988930-00b1-0133-1a65-58d385a7bbd0.left.jpg,df988930-00b1-0133-1a65-58d385a7bbd0,http://digitalcollections.nypl.org/items/df988930-00b1-0133-1a65-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0,0.839234,1373.76,2057,0,0,1373.76,2057
5,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/df988930-00b1-0133-1a65-58d385a7bbd0.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/df988930-00b1-0133-1a65-58d385a7bbd0.right.jpg,df988930-00b1-0133-1a65-58d385a7bbd0,http://digitalcollections.nypl.org/items/df988930-00b1-0133-1a65-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0,0.839234,1373.76,2057,1218.24,0,1373.76,2057
6,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/dfa22a80-00b1-0133-72f5-58d385a7bbd0.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/dfa22a80-00b1-0133-72f5-58d385a7bbd0.left.jpg,dfa22a80-00b1-0133-72f5-58d385a7bbd0,http://digitalcollections.nypl.org/items/dfa22a80-00b1-0133-72f5-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0,0.979081,1374.85,2058,0,0,1374.85,2058
